code,name
3480,"Персонал культовых учреждений, не имеющий духовного сана"
4,"Служащие, занятые подготовкой информации, оформлением документации, учетом и обслуживанием"
41,"Служащие, занятые подготовкой информации, оформлением документации и учетом"
411,"Секретари, операторы счетных (вычислительных) машин и родственные профессии"
4111,Стенографистки и машинистки
4112,"Операторы, использующие специальное оборудование для подготовки и передачи информации"
4113,"Операторы электронно-вычислительных машин, занятые вводом различной информации"
4114,Операторы вычислительных машин
4115,Секретари
412,"Служащие, занятые расчетно-счетными операциями"
4121,"Служащие, занятые бухгалтерскими операциями и учетом"
4122,"Служащие, занятые обработкой статистической и финансовой информации"
413,"Служащие, занятые учетом материалов и транспорта"
4131,"Работники, занятые учетом, приемом и выдачей товаров"
4132,"Служащие, занятые диспетчеризацией производства"
4133,"Служащие, занятые учетом на транспорте"
414,"Служащие библиотек, почтовых и других служб"
4141,Служащие библиотек и занятые картотеками
4142,Разносчики и сортировщики почты
4143,"Кодировщики, корректоры и родственные профессии"
419,"Другие служащие, занятые подготовкой информации, оформлением документации и учетом"
4190,"Другие служащие, занятые подготовкой информации, оформлением документации и учетом"
42,Служащие сферы обслуживания
421,Кассиры и родственные профессии
4211,"Кассиры, включая билетных кассиров"
4212,Кассиры банков и родственные профессии
4213,Букмекеры и крупье
4214,Агенты по залогу вещей и выдаче займов в долг
4215,"Работники по получению платежей по счетам, просроченных и других наличных сумм"
422,"Служащие, занятые информированием клиентов и населения"
4221,Служащие бюро путешествий (туристических и транспортных агентств)
4222,"Служащие, занятые приемом и информированием посетителей"
4223,Телефонисты
4224,"Служащие, занятые хозяйственным обслуживанием"
5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
51,Работники сферы индивидуальных услуг и защиты граждан и собственности
511,"Работники бюро путешествий, общественного транспорта и работники родственных профессий"
5111,"Проводники железнодорожного вагона, бортпроводники, стюарды"
5112,Кондукторы общественного транспорта
5113,Гиды
512,Работники предприятий общественного питания
5121,Помощники по ведению домашнего хозяйства
5122,Повара
5123,"Официанты, бармены и буфетчики"
513,"Работники, оказывающие услуги по уходу за детьми, больными, инвалидами, престарелыми и т.д."
5131,Работники по уходу за детьми
5132,"Работники, оказывающие индивидуальные услуги пациентам лечебных учреждений"
5133,"Работники, оказывающие индивидуальные услуги на дому"
5139,"Работники, оказывающие индивидуальные услуги, и работники родственных профессий, не вошедшие в другие группы"
514,"Другие работники, оказывающие индивидуальные услуги"
5141,"Женские и мужские парикмахеры, косметики и работники родственных профессий"
5142,Компаньоны и слуги
5143,Работники ритуальных услуг
5144,"Работники, занятые в химической чистке и крашении"
5145,Работники прачечных
5146,"Работники, занятые индивидуальным пошивом и ремонтом одежды и обуви"
5147,"Работники по ремонту квартир, мебели, электробытовых приборов, теле- и радиоаппаратуры, часов и др."
5148,Работники фотостудий
5149,"Работники, оказывающие индивидуальные услуги, не вошедшие в другие группы"
515,"Астрологи, гадалки и работники родственных профессий"
